ID	run	condition
MG_UKJ_02_1152_skin	SRR2925259	2mo
MG_UKJ_02_1153_skin	SRR2925260	2mo
MG_UKJ_02_1154_skin	SRR2925261	2mo
MG_UKJ_02_1155_skin	SRR2925262	2mo
MG_UKJ_02_1156_skin	SRR2925263	2mo
MG_UKJ_09_334_skin	SRR2925264	9mo
MG_UKJ_09_335_skin	SRR2925265	9mo
MG_UKJ_09_336_skin	SRR2925266	9mo
MG_UKJ_09_337_skin	SRR2925267	9mo
MG_UKJ_09_338_skin	SRR2925268	9mo
MG_UKJ_15_230_skin	SRR2925269	15mo
MG_UKJ_15_231_skin	SRR2925270	15mo
MG_UKJ_15_232_skin	SRR2925271	15mo
MG_UKJ_15_233_skin	SRR2925272	15mo
MG_UKJ_15_234_skin	SRR2925273	15mo
MG_UKJ_24_1055_skin	SRR2925274	24mo
MG_UKJ_24_1056_skin	SRR2925275	24mo
MG_UKJ_24_1057_skin	SRR2925276	24mo
MG_UKJ_24_1058_skin	SRR2925277	24mo
MG_UKJ_24_1059_skin	SRR2925278	24mo
MG_UKJ_30_69_skin	SRR2925279	30mo
MG_UKJ_30_70_skin	SRR2925280	30mo
MG_UKJ_30_71_skin	SRR2925281	30mo
MG_UKJ_30_72_skin	SRR2925282	30mo
MG_UKJ_30_73_skin	SRR2925283	30mo
